YEAR,  JAN ,  FEB ,  MAR ,  APR ,  MAY ,  JUN ,  JUL ,  AUG ,  SEP ,  OCT ,  NOV ,  DEC 
1982,-5.11,-3.39,4.94,10.72,17.28,19.50,25.94,25.33,20.22,12.72,3.94,0.78
1983,-1.06,1.33,4.67,7.78,14.56,20.94,28.28,29.39,21.50,14.00,5.83,-10.00
1984,-3.22,4.06,3.00,8.83,16.33,23.39,25.94,26.56,19.11,11.61,5.44,-0.11
1985,-5.67,-3.56,7.00,13.83,18.00,NA,26.22,23.00,19.22,11.83,0.39,-2.11
1986,2.83,0.94,9.33,13.17,17.78,24.39,27.22,24.22,21.06,12.56,4.11,0.89
1987,-0.28,3.94,5.06,12.22,18.83,23.83,25.78,24.28,20.17,11.78,6.94,0.17
1988,-4.56,-0.78,5.83,11.06,19.28,26.56,25.83,26.44,20.11,11.89,6.44,2.06
1989,1.39,NA,4.67,14.67,18.33,20.39,25.17,24.44,18.39,14.22,6.00,-3.00
1990,0.39,1.83,7.39,11.33,15.44,25.33,25.94,25.00,22.28,13.11,7.94,-3.22
1991,-4.00,4.67,7.06,13.22,19.44,25.44,28.28,25.28,21.11,13.17,1.39,1.89
1992,2.22,4.56,8.39,12.33,17.33,20.39,24.11,21.50,20.39,13.28,2.22,-3.72
1993,-6.00,-4.94,3.89,9.83,16.89,22.00,25.17,24.56,17.50,12.06,2.89,1.39
1994,-2.44,-2.94,8.22,11.39,18.39,25.61,24.28,26.06,20.50,14.06,5.89,1.72
1995,-1.39,3.83,5.17,9.50,13.61,21.22,26.06,27.94,19.44,13.06,4.83,-0.39
1996,-4.50,1.78,2.11,12.50,17.78,23.33,24.78,23.11,17.94,13.28,2.67,-1.28
1997,-2.89,0.22,7.50,8.67,15.83,22.50,25.44,23.83,21.22,13.94,4.33,-0.67
1998,-0.56,3.22,2.33,10.78,19.89,23.39,26.61,25.39,23.67,14.89,7.33,0.78
1999,-0.39,5.11,4.94,11.33,17.61,21.50,27.28,25.22,18.89,13.33,9.22,2.17
2000,-0.39,3.89,6.94,11.61,19.39,23.17,26.22,28.56,21.83,NA,1.89,-4.33
2001,-0.67,-3.28,4.50,14.00,17.94,22.11,28.50,25.89,19.78,12.78,9.00,1.78
2002,0.22,0.00,2.28,13.06,16.50,26.06,27.44,25.11,20.89,9.50,5.22,1.33
